#{"t_start": 1694254663.1472363, "env_id": null}
r,l,t
22.889925,76,13789.007198
26.949749,83,13805.594228
22.523934,68,13819.253913
20.888182,73,13833.772961
21.258166,74,13848.424866
19.209958,65,13862.532362
26.528923,92,13880.861975
26.639153,75,13895.762827
28.547876,100,13915.737506
23.662812,63,13928.26781
28.075252,76,13943.517124
15.470187,64,13956.339966
25.204659,80,13973.298095
28.220547,91,13991.527231
23.169878,85,14008.53168
27.058468,74,14023.196846
12.014786,56,14034.343465
24.1565,74,14049.101897
21.679805,103,14070.6378
27.557789,90,14088.600635
27.840585,84,14105.291095
25.217537,87,14122.681742
26.63579,84,14139.380232
23.308267,68,14152.930652
14.060912,56,14164.253226
25.439775,89,14183.468264
26.64195,84,14200.211468
25.942374,70,14214.291152
26.812804,94,14232.947281
23.204289,74,14247.712508
25.730621,68,14261.26974
27.976719,68,14275.735606
24.37623,81,14291.946586
26.868187,70,14305.839465
26.522261,100,14325.785109
26.420663,77,14341.28119
24.859138,74,14355.839241
23.126756,77,14371.090005
10.918725,46,14381.542719
16.870332,103,14402.033515
28.571539,89,14419.76909
24.275628,64,14432.539416
27.47827,73,14447.06241
22.679696,68,14460.575111
23.497255,61,14472.772225
26.276128,71,14488.644344
26.66477,64,14501.402433
21.831066,58,14512.951602
26.897244,71,14527.097971
25.384858,72,14541.433349
25.419583,73,14555.984965
28.272916,100,14575.964471
27.509983,83,14593.642827
24.560428,91,14611.825366
26.2926,77,14627.069608
26.812777,66,14640.254109
23.015383,77,14655.591039
23.624728,85,14672.513252
25.263315,56,14683.643038
26.879373,65,14697.993391
26.292847,81,14714.043596
25.207175,72,14728.435334
25.840169,84,14745.219147
16.983906,68,14758.797642
27.525651,65,14771.731953
29.390955,78,14787.205991
25.589136,84,14805.6797
24.773043,80,14821.693296
24.532768,88,14839.367625
23.130441,75,14854.263591
25.806155,98,14873.854233
28.754017,74,14888.639213
23.61694,66,14902.900384
22.798151,71,14917.076081
25.180389,63,14929.586748
24.960126,77,14944.941702
24.307327,68,14958.487767
27.653543,70,14972.443986
14.884893,69,14986.280077
25.526852,83,15004.449757
23.474321,103,15025.016862
23.820215,79,15040.833347
29.59439,90,15058.737066
22.538128,53,15069.302454
26.901219,80,15085.253974
28.504067,95,15105.16841
24.69355,76,15120.373447
17.782658,103,15140.864768
24.421501,76,15156.016219
27.253154,78,15171.555662
27.283343,75,15186.557451
24.427419,64,15199.338049
26.454772,77,15216.366718
23.168298,89,15234.119864
22.399722,71,15248.246749
29.035706,96,15267.4658
23.684095,65,15280.362742
26.892452,92,15298.738101
18.294845,64,15313.092234
27.315354,87,15330.430462
23.538581,83,15346.942552
25.220385,77,15362.244668
23.787208,58,15373.818571
16.670531,82,15390.218587
20.561037,103,15410.590792
25.477529,94,15430.656519
20.138053,103,15451.206184
28.945543,92,15469.502837
19.524755,103,15490.016146
23.152176,69,15503.670029
